Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2019/5/6, 16:30:00, 2898.00, 2914.50, 2894.00, 2914.25, 19612, 5040, 8620, 10992
2019/5/6, 17:00:00, 2914.25, 2919.00, 2909.50, 2915.50, 19370, 4352, 10202, 9168
2019/5/6, 17:30:00, 2915.50, 2921.25, 2913.75, 2920.25, 13732, 3356, 7946, 5786
2019/5/6, 18:00:00, 2920.00, 2924.25, 2917.25, 2924.00, 11699, 2783, 6164, 5535
2019/5/6, 18:30:00, 2924.00, 2924.50, 2917.50, 2918.25, 13009, 3200, 8318, 4691
2019/5/6, 19:00:00, 2918.75, 2919.50, 2916.25, 2917.00, 6825, 1835, 4205, 2620
2019/5/6, 19:30:00, 2917.00, 2920.50, 2916.50, 2916.50, 7244, 1582, 3892, 3352
2019/5/6, 20:00:00, 2916.25, 2921.75, 2914.75, 2921.25, 6543, 1797, 3958, 2585
2019/5/6, 20:30:00, 2921.50, 2922.50, 2920.25, 2922.25, 2972, 733, 2166, 806
2019/5/6, 21:00:00, 2922.25, 2925.75, 2920.75, 2925.00, 5914, 1391, 3423, 2491
2019/5/6, 21:30:00, 2925.00, 2935.75, 2925.00, 2935.50, 10208, 2513, 4687, 5521
2019/5/6, 22:00:00, 2935.25, 2937.50, 2932.75, 2935.25, 6216, 1667, 3440, 2776
2019/5/6, 22:30:00, 2935.75, 2938.00, 2932.00, 2933.75, 10204, 2339, 5233, 4971
2019/5/7, 16:30:00, 2905.75, 2912.75, 2895.50, 2902.50, 23736, 7962, 12530, 11206
2019/5/7, 17:00:00, 2902.50, 2902.50, 2890.25, 2900.75, 19736, 6780, 10004, 9732
2019/5/7, 17:30:00, 2900.50, 2901.50, 2887.25, 2889.25, 15622, 5919, 9015, 6607
2019/5/7, 18:00:00, 2889.25, 2894.25, 2884.00, 2891.00, 17030, 5683, 8584, 8446
2019/5/7, 18:30:00, 2891.25, 2895.00, 2882.50, 2886.00, 14611, 5331, 8390, 6221
2019/5/7, 19:00:00, 2885.75, 2894.75, 2881.50, 2894.00, 10166, 3278, 4247, 5919
2019/5/7, 19:30:00, 2894.00, 2895.50, 2888.50, 2888.50, 7101, 2631, 3966, 3135
2019/5/7, 20:00:00, 2888.50, 2889.50, 2873.75, 2875.75, 14928, 4602, 8066, 6862
2019/5/7, 20:30:00, 2875.75, 2881.00, 2871.25, 2876.75, 19731, 4909, 9577, 10154
2019/5/7, 21:00:00, 2876.75, 2881.00, 2871.25, 2872.00, 16062, 4165, 7942, 8120
2019/5/7, 21:30:00, 2872.00, 2877.00, 2867.00, 2874.75, 18821, 4422, 9547, 9274
2019/5/7, 22:00:00, 2874.50, 2878.25, 2869.00, 2871.00, 13265, 3317, 7761, 5504
2019/5/7, 22:30:00, 2870.75, 2886.75, 2862.50, 2885.25, 21256, 5690, 9414, 11842
2019/5/8, 16:30:00, 2880.00, 2887.50, 2872.75, 2884.25, 35078, 9362, 19842, 15236
2019/5/8, 17:00:00, 2884.50, 2888.50, 2880.75, 2881.00, 14767, 4941, 8075, 6692
2019/5/8, 17:30:00, 2881.25, 2891.75, 2876.50, 2891.25, 16579, 5241, 7020, 9559
2019/5/8, 18:00:00, 2891.50, 2898.50, 2887.75, 2890.50, 34324, 6219, 18487, 15837
2019/5/8, 18:30:00, 2890.75, 2892.75, 2882.25, 2887.75, 22413, 4616, 10813, 11600
2019/5/8, 19:00:00, 2887.75, 2889.00, 2881.50, 2888.00, 8013, 2770, 4362, 3651
2019/5/8, 19:30:00, 2887.75, 2894.00, 2886.50, 2894.00, 4602, 1643, 2283, 2319
2019/5/8, 20:00:00, 2894.00, 2895.50, 2889.25, 2891.25, 6013, 2082, 3112, 2901
2019/5/8, 20:30:00, 2891.50, 2892.75, 2888.25, 2891.50, 7509, 1906, 4055, 3454
2019/5/8, 21:00:00, 2891.75, 2892.50, 2887.50, 2891.50, 5289, 1422, 2927, 2362
